"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "JSON with Comments", "XML", "comment", "blank", "total"
"d:\Matteo\Desktop\Progetti\scaletta\CONFIGURAZIONE.md", "Markdown", 0, 0, 0, 431, 0, 0, 0, 0, 0, 132, 563
"d:\Matteo\Desktop\Progetti\scaletta\PROGETTO.md", "Markdown", 0, 0, 0, 548, 0, 0, 0, 0, 0, 189, 737
"d:\Matteo\Desktop\Progetti\scaletta\README.md", "Markdown", 0, 0, 0, 230, 0, 0, 0, 0, 0, 60, 290
"d:\Matteo\Desktop\Progetti\scaletta\UI_DESIGN.md", "Markdown", 0, 0, 0, 833, 0, 0, 0, 0, 0, 230, 1063
"d:\Matteo\Desktop\Progetti\scaletta\cors.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Matteo\Desktop\Progetti\scaletta\eslint.config.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"d:\Matteo\Desktop\Progetti\scaletta\firebase.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\Matteo\Desktop\Progetti\scaletta\firestore.indexes.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Matteo\Desktop\Progetti\scaletta\functions\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 27, 0, 0, 1, 28
"d:\Matteo\Desktop\Progetti\scaletta\functions\index.js", "JavaScript", 0, 190, 0, 0, 0, 0, 0, 0, 68, 28, 286
"d:\Matteo\Desktop\Progetti\scaletta\functions\package-lock.json", "JSON", 7952, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7953
"d:\Matteo\Desktop\Progetti\scaletta\functions\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\Matteo\Desktop\Progetti\scaletta\index.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 0, 4, 6, 46
"d:\Matteo\Desktop\Progetti\scaletta\package-lock.json", "JSON", 4698, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4699
"d:\Matteo\Desktop\Progetti\scaletta\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"d:\Matteo\Desktop\Progetti\scaletta\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Matteo\Desktop\Progetti\scaletta\public\firebase-messaging-sw.js", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 0, 30, 28, 211
